,Median Income (3 people/house),Adults with any Mental Illness,Unemployment Rate (August 2024),Youth With At Least One Major Depressive Episode (MDE) in the Past Year,% of pop with substance abuse disorder,# of Mental Health Care Health Professional Shortage Areas (HPSAs),"Reported Violent Crime Rate per 100,000 People",% of people with Health Insurance,Democrat or Republican State (According to 2020 election),"Most populus age group
",Geographic Region
Alabama,"$70,250.00",21.29%,2.80%,14.51%,7.89%,58,409,91.40%,Republican,35-54,South (East South Central)
Alaska,"$108,072.00",21.47%,4.60%,17.93%,10.23%,333,759,89.30%,Republican,35-54,West (Pacific)
Arizona,"$79,110.00",20.06%,3.40%,17.41%,7.11%,201,432,89.70%,Democrat ,35-54,West (Mountain)
Arkansas,"$70,169.00",20.34%,3.30%,16.27%,7.16%,79,645,91.50%,Republican,35-54,South (West South Central)
California,"$97,092.00",19.49%,5.30%,15.22%,9.23%,588,500,93.50%,Democrat,35-54,West (Pacific)
Colorado,"$100,744.00",23.20%,4.00%,15.02%,11.75%,70,493,93.00%,Democrat,35-54,West (Mountain)
Connecticut,"$90,213.00",18.85%,3.40%,14.41%,8.43%,41,150,94.80%,Democrat,35-54,Northeast (New England)
Delaware,"$96,841.00",20.92%,4.20%,15.48%,8.79%,11,384,94.50%,Democrat,35-54,South (South Atlantic)
Florida,"$75,057.00",17.23%,3.30%,13.25%,5.98%,212,259,88.80%,Republican,35-54,South (South Atlantic)
Georgia,"$79,980.00",17.88%,3.60%,13.75%,6.60%,84,367,88.30%,Democrat,35-54,South (South Atlantic)
Hawaii,"$100,532.00",17.45%,2.90%,14.16%,8.45%,32,260,96.40%,Democrat,35-54,West (Pacific)
Idaho,"$76,635.00",22.48%,3.50%,17.44%,7.67%,64,241,91.80%,Republican,0-18,West (Mountain)
Illinois,"$97,067.00",19.18%,5.30%,15.15%,8.02%,194,287,93.40%,Democrat,35-54,Midwest (East North Central)
Indiana,"$81,783.00",22.29%,4.20%,16.61%,8.42%,90,306,93.20%,Republican,35-54,Midwest (East North Central)
